"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT1G08630",199.535190897289,2.35642349597407,0.576846192438794,4.08501178799771,4.40745789694177e-05,0.0058167425594889,"THA1"
"AT1G68050",275.112307176701,2.16900813369864,0.359535777888885,6.0328019270699,1.61140883837252e-09,2.83554241925617e-06,"ADO3"
"AT1G06160",272.735450347699,2.23324927511028,0.436351210367923,5.11800866377165,3.08778422298553e-07,0.00017002290200424,"ERF59"
"AT3G48360",4743.00586214455,-2.20315164520831,0.284127460938768,-7.75409612970535,8.89749114821827e-15,1.40909567314333e-10,"ATBT2"
"AT4G33980",397.050304361765,2.2690192878764,0.317815068226101,7.139432691285,9.37168947748799e-13,7.42097231274887e-09,"COR28"
