"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G25400",3210.99551893237,-1.18887056288899,0.326630905547686,-3.63979814125528,0.000272851853398328,0.0404198537903462
"AT1G26945",140.050552556606,2.46931057715183,0.68168176854389,3.62238025292419,0.000291904600790852,0.0414576952363712
"AT1G17460",103.085339499108,1.3815956302284,0.379445293291942,3.64109307626965,0.000271482959309806,0.0404198537903462
"AT1G14780",584.028449972327,1.04566259185428,0.281529989120593,3.71421387512068,0.000203836350910569,0.0360135820718875
"AT1G53035",81.2307749621963,2.55917924371877,0.545707871568032,4.68965059339394,2.73671960484034e-06,0.00250970219761978
"AT1G69200",132.61355911905,1.12351087016233,0.303517404475785,3.70163573355137,0.000214214009663665,0.037048997194287
"AT1G49230",170.063359983852,1.65483168801879,0.438578124716215,3.77317425279603,0.000161183627549568,0.0320007659726761
"AT1G64600",39.3250809362161,2.26734508186184,0.567337368234133,3.99646702088224,6.42948338953834e-05,0.0172708378247014
"AT1G64500",620.137977795046,-1.07178226432653,0.299918335024506,-3.57358033559022,0.000352133140581455,0.0445992325785456
"AT1G64390",244.641992897859,1.5819414070235,0.441077104767327,3.58654164980518,0.000335092563697708,0.0438994053856494
"AT1G68050",275.112307176701,1.57263893726201,0.362655017290993,4.33645989240548,1.44795832906468e-05,0.00726097558997219
"AT1G80920",19811.3039222748,-1.10562533505624,0.297587887568181,-3.7152901083816,0.000202970687755545,0.0360135820718875
"AT1G68585",209.281308977932,-1.19639445461891,0.291996478696459,-4.09729069322993,4.1801383993061e-05,0.0144985146778681
"AT5G57110",886.759705700631,1.19791921237173,0.283441790591406,4.22633236218361,2.37531078785545e-05,0.0103963034437546
"AT5G65207",609.225891227763,-1.36096077431797,0.302651076677769,-4.49679805952576,6.89844502671754e-06,0.00458104325256987
"AT5G56100",233.799258688034,-1.71292467845728,0.432037834812902,-3.96475618668693,7.34710033271684e-05,0.0186171655536133
"AT5G21482",838.170265690766,1.14332756836344,0.218049746173686,5.2434253578664,1.57622591283393e-07,0.000252957988577965
"AT5G48250",670.066139518067,1.27683956722782,0.210797159819621,6.0571953071873,1.3851537321722e-09,6.66882264354306e-06
"AT5G51720",73.2101961957473,-2.31995809601616,0.53540748890954,-4.33306994032003,1.47044370136523e-05,0.00726097558997219
"AT5G56550",1373.97454096411,-1.9142897277688,0.315110154053544,-6.07498585222843,1.23998653030628e-09,6.66882264354306e-06
