"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G30814",3.15763005500944,1.37343095975973,2.38114980225308,0.576793177170194,0.564079179143865,NA
"AT1G78930",32.3352621939347,0.381500095065317,0.621762990466655,0.613578004665391,0.539494221944261,0.879870612846449
"AT1G71695",932.06204154017,0.0695645322223811,0.411613972234831,0.169004302367786,0.865793257281143,0.980796824542036
"AT1G58983",5.30766796585399,-2.3882368772315,1.91192167576946,-1.24912903467677,0.211617882588272,NA
"AT1G12980",0.171757306703888,0.068609417904948,7.33250927045861,0.0093568811677284,0.992534397916263,NA
"AT1G45223",0,NA,NA,NA,NA,NA
"AT1G56250",38.370232463229,0.89677325606128,0.861962499600126,1.04038546511861,0.298160851772714,0.753388932013039
"AT1G66852",0,NA,NA,NA,NA,NA
"AT1G69810",56.868637024382,0.807500484371555,0.49479564926179,1.63198784301419,0.102682047222287,0.528839709450594
"AT1G72450",9807.08857619169,-0.483948414286807,0.211453956983458,-2.28867040934432,0.0220985095513193,0.293567673593641
"AT1G76280",138.922903547445,-0.651408749951964,0.250475155914541,-2.60069206294542,0.00930359241390859,0.209146985870034
"AT1G65630",0,NA,NA,NA,NA,NA
"AT1G71390",111.526225430155,2.84810099639597,1.14064381311835,2.49692407361566,0.0125275776715239,0.234920240231944
"AT1G56233",0,NA,NA,NA,NA,NA
"AT1G15210",0.246462632900999,-2.64585919006099,7.27753353899314,-0.363565372235585,0.71618258861192,NA
"AT1G15250",109.641702324112,-0.383644442394464,0.433624122804099,-0.884739621757126,0.37629708068102,0.802782430941294
"AT1G79700",1213.67144359076,-0.167049130744977,0.462920498023172,-0.360859221957838,0.718204688603892,0.946258099424112
"AT1G62895",0,NA,NA,NA,NA,NA
"AT1G73360",21.6505913016312,-1.07680294646058,0.581152922647686,-1.85287366628865,0.0639004683617538,0.448304451374093
"AT1G16360",3.7121075015713,-0.546044749999462,1.39682645714472,-0.390918103824896,0.695857771750036,NA
"AT1G10225",1.90774007351475,-1.22867779089327,1.81111863471492,-0.678408231985685,0.4975128910746,NA
"AT1G26670",5315.32668623501,0.207629915577385,0.215906069284221,0.961667804271214,0.336216499917998,0.780355142675358
"AT1G34855",0,NA,NA,NA,NA,NA
"AT1G52200",6223.71493851983,0.962332146309396,0.540350989683225,1.78093899092061,0.0749224179938619,0.474964102722993
"AT1G57800",0,NA,NA,NA,NA,NA
"AT1G69460",993.677294413022,0.275819038502032,0.186956522541457,1.47531112984234,0.140128915538353,0.590179547831346
"AT1G04310",141.235415558612,0.695781401994758,0.409690905277994,1.69830814653462,0.0894496179642033,0.505367449611077
"AT1G08080",1.77333544891424,0.068583996130349,3.30428050329136,0.0207561059244314,0.983440212585755,NA
"AT1G75550",8.41302957566261,-0.0236174348910748,1.122564642534,-0.0210388194997505,0.983214689038518,0.997086748446634
