"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalized_counts.A10_S1","normalized_counts.A18_S16","normalized_counts.A20_S2","normalized_counts.A28_S17","normalized_counts.A30_S3","normalized_counts.A38_S18","normalized_counts.B10_S4","normalized_counts.B18_S19","normalized_counts.B20_S5","normalized_counts.B28_S20","normalized_counts.B30_S6","normalized_counts.B38_S21","normalized_counts.D10_S7","normalized_counts.D18_S22","normalized_counts.D20_S8","normalized_counts.D28_S23","normalized_counts.D30_S9","normalized_counts.D38_S24","normalized_counts.M10_S10","normalized_counts.M18_S25","normalized_counts.M20_S11","normalized_counts.M28_S26","normalized_counts.M30_S12","normalized_counts.M38_S27","normalized_counts.N10_S13","normalized_counts.N18_S28","normalized_counts.N20_S14","normalized_counts.N28_S29","normalized_counts.N30_S15"
"AT1G72330",779.815071687971,1.17864309180309,0.319391542337229,3.69027646498736,0.000224010461579641,0.0176500183086407,1325.20754846753,663.628336048494,837.159211464735,634.844062927394,1088.91470572382,1097.29111295553,693.851386238661,1266.12703862642,957.293146984545,1186.01085276745,636.33587568168,1324.78001068637,379.45009599975,649.434272311409,469.8536956446,614.620202364948,587.118846230084,690.007485586616,431.925070038924,585.605595859818,865.842594336543,750.263200119559,276.209033815219,872.680000415817,546.016977159989,1286.03961638503,696.296377167302,696.738820838716,505.091906104207
"AT1G08630",199.535190897289,2.35642349597407,0.576846192438794,4.08501178799771,4.40745789694177e-05,0.0058167425594889,331.960538979938,520.44824984625,201.392074456139,887.972969546851,509.012423806867,406.130627271563,105.167862609187,147.389262561,78.7964586834914,389.588495588514,78.0285006121299,340.310461460719,38.3282925252273,33.6461548704835,109.687099680098,56.3010872395372,56.4278982646763,203.056596176815,99.1526104177404,100.481600490204,34.9227193821415,107.897383294786,82.1161992423625,47.5221782404653,46.5216258566807,414.654058346631,22.3096646984464,326.571551974461,10.7258898979658
"AT1G01060",1920.27526653525,-1.33210864436001,0.375499419390157,-3.54756512413114,0.000388809615533193,0.0246225367202632,1903.5038842302,54.5447947437118,2200.83365026578,21.8354008904963,1807.11031739653,17.7220637354864,3378.19695259267,53.2732274316867,2868.52640015859,26.651929275673,3365.98807813015,16.205260069558,4354.09403086582,111.730627494436,5078.34900309947,41.555564391087,5450.66626809028,38.4941414553203,5640.83275431337,27.8301808937883,3996.84502170095,50.1848294394354,6203.50559730938,60.4827723060467,2688.46027319134,35.1920418522971,3523.75282947567,30.120677123858,2641.49415759903
"AT1G52690",49.2512156793174,-23.8166231627567,6.46299345019031,-3.68507617194869,0.000228634251904615,0.017827642916412,0,0,0,0,0,0,0,28.4123879635662,40.2364895405063,0,0,0,0,62.2136448548564,0,0,20.152820808813,0,0,0,393.783766826216,0,867.445668360229,0,0,0,14.0903145463872,0,1.95016179963014
"AT1G72940",598.278210672522,-1.321897515907,0.383385505709175,-3.44795902876348,0.00056483971162028,0.0311685244352975,262.143441496062,3459.04906666373,236.93185230134,3576.1534347324,220.804476080604,856.566413881841,237.268958325605,835.50178355362,316.862355131487,540.877388241599,287.898260879238,351.789187343322,559.593070868318,201.876929222901,628.65442204713,162.200751332953,611.30223120066,180.922464840005,493.046542214243,220.297852969777,447.974193453677,231.477525789396,585.264547327383,515.831643810141,405.227846277929,162.954454663898,332.296584718965,164.078425385227,265.222004749699
"AT1G16800",143.99352813848,-1.02380270133615,0.298436204848432,-3.43055797086053,0.000602341252703899,0.0323131233218535,73.7690086622084,180.679632588545,110.568197740625,131.012405342978,53.4579257879358,98.2097698674869,138.513770265759,156.268133799614,68.7373362983649,148.937251834643,115.697431942124,151.924313152107,181.420584619409,161.247610134015,162.074968184026,180.967780412798,138.382702887182,105.858889002131,210.529515270545,204.185642978636,119.218938580414,152.436419422285,170.204485702351,201.321227818698,156.704423938293,155.304010782963,140.903145463872,130.787150669383,176.489642866528
"AT1G36060",143.176806036791,1.22829284574269,0.358932397880508,3.42207293907083,0.000621456398411688,0.0325993349415616,143.586106146084,288.632872185475,105.303045467262,393.845934580434,195.237642008113,213.403184148148,73.1044898624837,113.649551854265,67.0608159008438,135.611287196807,30.9423364496377,110.060724639082,44.7163412794318,201.242096112137,80.218923646639,167.56275964148,65.8325479754557,262.722515432561,71.987511673154,221.176700787475,45.7608047076337,111.661245502744,29.8604360881318,146.022693138884,31.8305861124657,347.330152194411,51.6644866700865,366.99667127227,35.1029123933426
"AT1G53035",81.2307749621963,1.8335048807336,0.56175744813452,3.26387284551775,0.00109900476144418,0.0462233152806409,19.759555891663,111.362289268412,31.5909136401787,164.169865954472,17.431932322153,203.803732958093,26.9332331072308,158.043908047337,20.1182447702531,194.40230765785,18.8344656649969,145.172121456457,12.7760975084091,233.618584761093,0,144.774224330239,5.37408554901679,77.9506364470236,10.8660394978346,99.016854127373,12.0423170283247,95.3511759349273,14.9302180440659,132.198059468931,31.8305861124657,181.31551997814,35.225786365968,110.970915719477,45.8288022913083
"AT1G70790",209.980115538143,-1.2318293347423,0.34957475959807,-3.5237936976875,0.000425415336443483,0.0261135762916877,234.480063247734,115.907688830388,175.066313089323,104.324693143483,76.7005022174731,52.4277718841472,178.272352471671,99.4433578724818,176.034641739715,114.446519830831,200.45252743461,62.1201635999724,502.100632080477,154.899279026377,299.593123006835,155.498240947293,337.223868200804,177.073050694473,224.112064642838,143.83809283,263.72674292031,135.499039486476,400.129843580966,142.566534721396,596.211362952723,110.166391885452,282.98048380661,98.2885253515367,475.839479109755
"AT1G24330",271.23843898702,-1.0486422602213,0.306920465271257,-3.41665799083978,0.000633948670470342,0.0330258062310487,168.614876942191,115.907688830388,296.164815376675,91.3851963194847,216.155960794697,77.5340288427528,206.48812048877,88.7887123861445,254.831100423206,90.9301116464137,333.639106065659,61.4449444304075,514.876729588886,120.61829104513,479.676420989086,101.207906823454,413.804587274293,105.858889002131,483.538757653638,198.619606799878,392.579535123384,131.107866910525,628.562179655175,103.684752524651,983.075409550384,75.7393944212482,526.03840973179,129.201851873391,475.839479109755
